Id	Character	Name	Ability Element	Ability Pot. %	Ability Range	Ability Type	Command ATB	Command Sigil	Effect0	Effect0_Condition	Effect0_Duration	Effect0_EffectCount	Effect0_Extend	Effect0_Pot	Effect0_PotMax	Effect0_Range	Effect0_Type	Effect1	Effect1_Condition	Effect1_Duration	Effect1_EffectCount	Effect1_Extend	Effect1_Pot	Effect1_PotMax	Effect1_Range	Effect1_Type	Effect2	Effect2_Condition	Effect2_Duration	Effect2_EffectCount	Effect2_Extend	Effect2_Pot	Effect2_PotMax	Effect2_Range	Effect2_Type	Effect3	Effect3_Condition	Effect3_Duration	Effect3_EffectCount	Effect3_Extend	Effect3_Pot	Effect3_Range	Effect3_Type	GachaType	MateriaSupport0	MateriaSupport1	MateriaSupport2
1001	Cloud	Buster Sword	None	750.0	Single Enemy	Phys	4	✕ Cross	Crit Rate					10.0%		Single Enemy	AdditionalEffect	Multiply damage	When matching sigils are destroyed				150.0%		Single Enemy	AdditionalEffect																		Event	ATK Boost I	ATK Boost I	PATK Boost I
1002	Cloud	Iron Blade	None	350.0	All Enemies	Phys	4		PATK Down		25		8	Mid	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Featured	PATK Boost I	PATK Boost I	ATK Boost (Wind) I
1003	Cloud	Hardedge	None	510.0	Single Enemy	Phys	4		PDEF Down		25		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Featured	ATK Boost I	ATK Boost I	PATK Boost I
1004	Cloud	Mythril Saber	None	940.0	Single Enemy	Mag	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Featured	ATK Boost I	MATK Boost I	MATK Boost I
1006	Cloud	Butterfly Edge	Heal	14.0	Single Ally	Mag	4		PDEF Up		38		12	High	High	Single Ally	BuffDebuff																											Featured	ATK Boost I	ATK Boost I	ATK Boost (Ice) I
1007	Cloud	Murasame	Lightning	750.0	Single Enemy	Phys	4																																					Featured	PATK Boost I	PATK Boost I	✕ Cross Sigil Boost I (+2)
1008	Cloud	Organics	None	750.0	Single Enemy	Phys	4		Status Ailment: Stun		5		2			Single Enemy	StatusConditionEffect	Crit Rate					10.0%		Single Enemy	AdditionalEffect																		Featured	ATK Boost I	ATK Boost I	HEAL Boost I
1009	Cloud	Crystal Sword	Heal	72.0	All Allies	Mag	5																																					Featured	ATK Boost I	MATK Boost I	MATK Boost I
1012	Cloud	Enhance Sword	Ice	520.0	All Enemies	Mag	4																																					Featured	ATK Boost I	MATK Boost I	MATK Boost I
1013	Cloud	Nail Bat	None	1600.0	Single Enemy	Phys	5		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Event	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
1015	Cloud	Apocalypse	None	940.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Featured	PATK Boost I	PATK Boost I	PATK Boost I
1020	Cloud	Maritime Sword	Water	750.0	Single Enemy	Phys	4																																					Featured	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
1021	Cloud	Full Throttle	Ice	1120.0	Single Enemy	Mag	4		MATK Up		30		10	Mid	High	Self	BuffDebuff	MDEF Down	When hitting target's weakness	30		10	Mid	High	Single Enemy	BuffDebuff																		Featured	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
1022	Cloud	Mystic Sword	None	420.0	Single Enemy	Mag	3		MATK Down		24		8	High	High	Single Enemy	BuffDebuff	PATK Down	When HP is greater than 70.0%	24		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Featured	PATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
1024	Cloud	Shiva's Blade	Ice	450.0	Single Enemy	Mag	4																																					Grindable	ATK Boost I	MATK Boost I	MATK Boost I
1025	Cloud	Bandaged Sword	Heal	7.0	All Allies	Mag	4		MDEF Up		14		4	High	High	All Allies	BuffDebuff																											Featured	ATK Boost I	Buff/Debuff Extension I	ATK Boost (Ice) I
1028	Cloud	Skysplitter	Fire	850.0	Single Enemy	Phys	4																																					Featured	PATK Boost I	PATK Boost I	△ Triangle Boost I (+2)
1029	Cloud	Zidane's Sword	None	1300.0	Single Enemy	Phys	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																											Event	PATK Boost I	PATK Boost I	✕ Cross Sigil Boost I (+2)
1030	Cloud	Holiday Cheer	Earth	290.0	All Enemies	Mag	4																																					Event	ATK Boost I	ATK Boost I	MATK Boost I
1031	Cloud	Stream Saber	Ice	1020.0	Single Enemy	Phys	4		HP Gain		30	0	0	8.0%		All Allies	StatusChangeEffect																											Limited	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
1032	Cloud	Igneous Saber	Fire	290.0	All Enemies	Mag	4																																					Event	ATK Boost I	ATK Boost I	MATK Boost I
1033	Cloud	Glavenus Sword	None	850.0	Single Enemy	Phys	4		PDEF Down		30		10	Mid	Mid	Single Enemy	BuffDebuff	PATK Up	When HP is greater than 50.0%	35		7	High	High	Self	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect									Limited	PATK Boost I	ATK Boost (Fire) I	◯ Circle Sigil Boost I (+2)
1034	Cloud	Rune Blade	Ice	290.0	All Enemies	Mag	4																																					Event	ATK Boost I	MATK Boost I	MATK Boost I
1035	Cloud	Burning Oar	Fire	450.0	Single Enemy	Phys	4																																					Event	ATK Boost I	PATK Boost I	PATK Boost I
1036	Cloud	Bahamut Greatsword	None	800.0	All Enemies	Phys	4		Haste	On first use	30	0	10	0.0%		Self	StatusChangeEffect	Crit Rate					10.0%		All Enemies	AdditionalEffect	Deals Fixed Additional Damage	When HP is greater than 50.0%				40000		All Enemies	AdditionalEffect									Limited	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
1037	Cloud	Ultimate Buster Sword	None	1000.0	Single Enemy	Both	0		PATK Down		30		30	High	High	Single Enemy	BuffDebuff	MATK Down		30		30	High	High	Single Enemy	BuffDebuff																		Ultimate			
1038	Cloud	Locke's Sword	None	1010.0	Single Enemy	Phys	3		Fire Damage Up		55		11	High	High	Self	BuffDebuff	Ice Damage Up		55		11	High	High	Self	BuffDebuff	Lightning Damage Up		55		11	High	High	Self	BuffDebuff	Crit Rate					10.0%	Single Enemy	AdditionalEffect	Limited	ATK Boost (Fire) I	ATK Boost (Ice) I	ATK Boost (Lightning) I
1039	Cloud	Holiday Blade	Wind	940.0	Single Enemy	Mag	4		Multiply damage	When debuff is on target				120.0%		Single Enemy	AdditionalEffect																											Featured	MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)
1040	Cloud	Chocobo Paddle	None	250.0	All Enemies	Mag	4		Fire Resistance Down		35		8	Low	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Event	ATK Boost I	MATK Boost I	MATK Boost I
1042	Cloud	Sleek Saber	None	250.0	All Enemies	Mag	4		PDEF Down		35		8	Low	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																		Event	ATK Boost I	PATK Boost I	PATK Boost I
1044	Cloud	Erdrick's Sword	Lightning	720.0	All Enemies	Phys	4		Multiply damage	Against a single target				150.0%		All Enemies	AdditionalEffect	Status Ailment: Enfeeble		30		10			All Enemies	StatusConditionEffect	MATK Down	When HP is greater than 50.0%	30		10	Mid	High	All Enemies	BuffDebuff									Limited	PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)
1045	Cloud	Radblade	Water	450.0	Single Enemy	Phys	4																																					Event	PATK Boost I	PATK Boost I	PATK Boost I
